Iteration No. : 1ray ID :0 iCellCt = 0, f_Ip_New = 0.000053
ray ID :59 iCellCt = 0, f_Ip_New = 0.000000
iCellCt = 1, f_Ip_New = 0.000000
iCellCt = 2, f_Ip_New = 0.000000
ray ID :60 iCellCt = 0, f_Ip_New = 0.000053
iCellCt = 1, f_Ip_New = -0.000015
iCellCt = 2, f_Ip_New = 0.000005
ray ID :61 iCellCt = 0, f_Ip_New = 0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = 0.000064
ray ID :62 iCellCt = 0, f_Ip_New = 0.000308
iCellCt = 1, f_Ip_New = -0.000526
iCellCt = 2, f_Ip_New = 0.000898
ray ID :63 iCellCt = 0, f_Ip_New = -0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = -0.000064
Iteration No. : 2ray ID :0 iCellCt = 0, f_Ip_New = 0.000053
iCellCt = 1, f_Ip_New = -0.000015
iCellCt = 2, f_Ip_New = 0.000005
ray ID :1 iCellCt = 0, f_Ip_New = 0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = 0.000064
ray ID :2 iCellCt = 0, f_Ip_New = 0.000308
iCellCt = 1, f_Ip_New = -0.000526
iCellCt = 2, f_Ip_New = 0.000898
ray ID :3 iCellCt = 0, f_Ip_New = -0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = -0.000064
ray ID :4 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :5 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :6 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :7 iCellCt = 0, f_Ip_New = 0.000000
iCellCt = 1, f_Ip_New = 0.000000
iCellCt = 2, f_Ip_New = 0.000000
ray ID :8 iCellCt = 0, f_Ip_New = 0.000053
iCellCt = 1, f_Ip_New = -0.000015
iCellCt = 2, f_Ip_New = 0.000005
ray ID :9 iCellCt = 0, f_Ip_New = 0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = 0.000064
ray ID :10 iCellCt = 0, f_Ip_New = 0.000308
iCellCt = 1, f_Ip_New = -0.000526
iCellCt = 2, f_Ip_New = 0.000898
ray ID :11 iCellCt = 0, f_Ip_New = -0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = -0.000064
ray ID :12 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :13 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :14 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :15 iCellCt = 0, f_Ip_New = 0.000000
iCellCt = 1, f_Ip_New = 0.000000
iCellCt = 2, f_Ip_New = 0.000000
ray ID :16 iCellCt = 0, f_Ip_New = 0.000053
iCellCt = 1, f_Ip_New = -0.000015
iCellCt = 2, f_Ip_New = 0.000005
ray ID :17 iCellCt = 0, f_Ip_New = 0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = 0.000064
ray ID :18 iCellCt = 0, f_Ip_New = 0.000308
iCellCt = 1, f_Ip_New = -0.000526
iCellCt = 2, f_Ip_New = 0.000898
ray ID :19 iCellCt = 0, f_Ip_New = -0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = -0.000064
ray ID :20 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :21 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :22 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :23 iCellCt = 0, f_Ip_New = 0.000000
iCellCt = 1, f_Ip_New = 0.000000
iCellCt = 2, f_Ip_New = 0.000000
ray ID :24 iCellCt = 0, f_Ip_New = 0.000053
iCellCt = 1, f_Ip_New = -0.000015
iCellCt = 2, f_Ip_New = 0.000005
ray ID :25 iCellCt = 0, f_Ip_New = 0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = 0.000064
ray ID :26 iCellCt = 0, f_Ip_New = 0.000308
iCellCt = 1, f_Ip_New = -0.000526
iCellCt = 2, f_Ip_New = 0.000898
ray ID :27 iCellCt = 0, f_Ip_New = -0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = -0.000064
ray ID :28 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :29 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :30 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :31 iCellCt = 0, f_Ip_New = 0.000000
iCellCt = 1, f_Ip_New = 0.000000
iCellCt = 2, f_Ip_New = 0.000000
ray ID :32 iCellCt = 0, f_Ip_New = 0.000053
iCellCt = 1, f_Ip_New = -0.000015
iCellCt = 2, f_Ip_New = 0.000005
ray ID :33 iCellCt = 0, f_Ip_New = 0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = 0.000064
ray ID :34 iCellCt = 0, f_Ip_New = 0.000308
iCellCt = 1, f_Ip_New = -0.000526
iCellCt = 2, f_Ip_New = 0.000898
ray ID :35 iCellCt = 0, f_Ip_New = -0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = -0.000064
ray ID :36 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :37 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :38 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :39 iCellCt = 0, f_Ip_New = 0.000000
iCellCt = 1, f_Ip_New = 0.000000
iCellCt = 2, f_Ip_New = 0.000000
ray ID :40 iCellCt = 0, f_Ip_New = 0.000053
iCellCt = 1, f_Ip_New = -0.000015
iCellCt = 2, f_Ip_New = 0.000005
ray ID :41 iCellCt = 0, f_Ip_New = 0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = 0.000064
ray ID :42 iCellCt = 0, f_Ip_New = 0.000308
iCellCt = 1, f_Ip_New = -0.000526
iCellCt = 2, f_Ip_New = 0.000898
ray ID :43 iCellCt = 0, f_Ip_New = -0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = -0.000064
ray ID :44 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :45 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :46 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :47 iCellCt = 0, f_Ip_New = 0.000000
iCellCt = 1, f_Ip_New = 0.000000
iCellCt = 2, f_Ip_New = 0.000000
ray ID :48 iCellCt = 0, f_Ip_New = 0.000053
iCellCt = 1, f_Ip_New = -0.000015
iCellCt = 2, f_Ip_New = 0.000005
ray ID :49 iCellCt = 0, f_Ip_New = 0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = 0.000064
ray ID :50 iCellCt = 0, f_Ip_New = 0.000308
iCellCt = 1, f_Ip_New = -0.000526
iCellCt = 2, f_Ip_New = 0.000898
ray ID :51 iCellCt = 0, f_Ip_New = -0.000128
iCellCt = 1, f_Ip_New = -0.000090
iCellCt = 2, f_Ip_New = -0.000064
ray ID :52 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :53 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :54 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :55 iCellCt = 0, f_Ip_New = 0.000000
iCellCt = 1, f_Ip_New = 0.000000
iCellCt = 2, f_Ip_New = 0.000000
ray ID :56 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :57 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
ray ID :58 iCellCt = 0, f_Ip_New = -0.000000
iCellCt = 1, f_Ip_New = -0.000000
iCellCt = 2, f_Ip_New = -0.000000
